time,GB05YOpen,GB05YHigh,GB05YLow,GB05YClose,GB03MYOpen,GB03MYHigh,GB03MYLow,GB03MYClose
1987-01,10.47000027,10.47000027,10.47000027,10.47000027,10.68000031,10.68000031,10.68000031,10.68000031
1987-02,10.25,10.25,10.25,10.25,10.64999962,10.64999962,10.64999962,10.64999962
1987-03,9.56999969,9.56999969,9.56999969,9.56999969,10.21000004,10.21000004,10.21000004,10.21000004
1987-04,9.35999966,9.35999966,9.35999966,9.35999966,9.60999966,9.60999966,9.60999966,9.60999966
1987-05,8.92000008,8.92000008,8.92000008,8.92000008,8.81000042,8.81000042,8.81000042,8.81000042
1987-06,8.94999981,8.94999981,8.94999981,8.94999981,8.51000023,8.51000023,8.51000023,8.51000023
1987-07,9.43999958,9.43999958,9.43999958,9.43999958,8.85000038,8.85000038,8.85000038,8.85000038
1987-08,10.02000046,10.02000046,10.02000046,10.02000046,9.22000027,9.22000027,9.22000027,9.22000027
1987-09,10.39000034,10.39000034,10.39000034,10.39000034,9.89000034,9.89000034,9.89000034,9.89000034
1987-10,10.38000011,10.38000011,10.38000011,10.38000011,9.86999989,9.86999989,9.86999989,9.86999989
1987-11,9.31000042,9.31000042,9.31000042,9.31000042,8.97000027,8.97000027,8.97000027,8.97000027
1987-12,8.97999954,8.97999954,8.97999954,8.97999954,8.56000042,8.56000042,8.56000042,8.56000042
1988-01,9.40999985,9.40999985,9.40999985,9.40999985,8.39000034,8.39000034,8.39000034,8.39000034
1988-02,9.36999989,9.36999989,9.36999989,9.36999989,8.82999992,8.82999992,8.82999992,8.82999992
1988-03,9.19999981,9.19999981,9.19999981,9.19999981,8.89000034,8.89000034,8.89000034,8.89000034
1988-04,8.93999958,8.93999958,8.93999958,8.93999958,8.23999977,8.23999977,8.23999977,8.23999977
1988-05,9.09000015,9.09000015,9.09000015,9.09000015,7.96999979,7.96999979,7.96999979,7.96999979
1988-06,9.25,9.25,9.25,9.25,7.71999979,7.71999979,7.71999979,7.71999979
1988-07,9.90999985,9.90999985,9.90999985,9.90999985,9.88000011,9.88000011,9.88000011,9.88000011
1988-08,9.89999962,9.89999962,9.89999962,9.89999962,10.39999962,10.39999962,10.39999962,10.39999962
1988-09,10.56000042,10.56000042,10.56000042,10.56000042,11.85999966,11.85999966,11.85999966,11.85999966
1988-10,10.10000038,10.10000038,10.10000038,10.10000038,11.57999992,11.57999992,11.57999992,11.57999992
1988-11,9.93999958,9.93999958,9.93999958,9.93999958,11.64999962,11.64999962,11.64999962,11.64999962
1988-12,10.77000046,10.77000046,10.77000046,10.77000046,12.64999962,12.64999962,12.64999962,12.64999962
1989-01,10.48999977,10.48999977,10.48999977,10.48999977,12.64000034,12.64000034,12.64000034,12.64000034
1989-02,9.98999977,9.98999977,9.98999977,9.98999977,12.48999977,12.48999977,12.48999977,12.48999977
1989-03,10.25,10.25,10.25,10.25,12.80000019,12.80000019,12.80000019,12.80000019
1989-04,10.47999954,10.47999954,10.47999954,10.47999954,12.61999989,12.61999989,12.61999989,12.61999989
1989-05,10.60999966,10.60999966,10.60999966,10.60999966,12.48999977,12.48999977,12.48999977,12.48999977
1989-06,10.89999962,10.89999962,10.89999962,10.89999962,13.57999992,13.57999992,13.57999992,13.57999992
1989-07,10.76000023,10.76000023,10.76000023,10.76000023,13.51000023,13.51000023,13.51000023,13.51000023
1989-08,10.30000019,10.30000019,10.30000019,10.30000019,13.36999989,13.36999989,13.36999989,13.36999989
1989-09,10.52000046,10.52000046,10.52000046,10.52000046,13.52000046,13.52000046,13.52000046,13.52000046
1989-10,11.13000011,11.13000011,11.13000011,11.13000011,13.96000004,13.96000004,13.96000004,13.96000004
1989-11,11.19999981,11.19999981,11.19999981,11.19999981,14.60999966,14.60999966,14.60999966,14.60999966
1989-12,11.47000027,11.47000027,11.47000027,11.47000027,14.64999962,14.64999962,14.64999962,14.64999962
1990-01,11.15999985,11.15999985,11.15999985,11.15999985,14.53999996,14.53999996,14.53999996,14.53999996
1990-02,11.77999973,11.77999973,11.77999973,11.77999973,14.52999973,14.52999973,14.52999973,14.52999973
1990-03,12.56999969,12.56999969,12.56999969,12.56999969,14.52999973,14.52999973,14.52999973,14.52999973
1990-04,12.92000008,12.92000008,12.92000008,12.92000008,14.64999962,14.64999962,14.64999962,14.64999962
1990-05,13.57999992,13.57999992,13.57999992,13.57999992,14.71000004,14.71000004,14.71000004,14.71000004
1990-06,12.23999977,12.23999977,12.23999977,12.23999977,14.51000023,14.51000023,14.51000023,14.51000023
1990-07,11.98999977,11.98999977,11.98999977,11.98999977,14.31999969,14.31999969,14.31999969,14.31999969
1990-08,11.86999989,11.86999989,11.86999989,11.86999989,14.34000015,14.34000015,14.34000015,14.34000015
1990-09,12.0,12.0,12.0,12.0,14.31999969,14.31999969,14.31999969,14.31999969
1990-10,12.02999973,12.02999973,12.02999973,12.02999973,14.31000042,14.31000042,14.31000042,14.31000042
1990-11,11.32999992,11.32999992,11.32999992,11.32999992,13.21000004,13.21000004,13.21000004,13.21000004
1990-12,10.88000011,10.88000011,10.88000011,10.88000011,12.90999985,12.90999985,12.90999985,12.90999985
1991-01,11.18000031,11.18000031,11.18000031,11.18000031,13.35999966,13.35999966,13.35999966,13.35999966
1991-02,10.59000015,10.59000015,10.59000015,10.59000015,13.22000027,13.22000027,13.22000027,13.22000027
1991-03,10.32999992,10.32999992,10.32999992,10.32999992,11.93999958,11.93999958,11.93999958,11.93999958
1991-04,10.22000027,10.22000027,10.22000027,10.22000027,11.68000031,11.68000031,11.68000031,11.68000031
1991-05,10.22999954,10.22999954,10.22999954,10.22999954,11.10000038,11.10000038,11.10000038,11.10000038
1991-06,10.35999966,10.35999966,10.35999966,10.35999966,10.88000011,10.88000011,10.88000011,10.88000011
1991-07,10.40999985,10.40999985,10.40999985,10.40999985,10.72000027,10.72000027,10.72000027,10.72000027
1991-08,10.13000011,10.13000011,10.13000011,10.13000011,10.51000023,10.51000023,10.51000023,10.51000023
1994-01,5.70800018,5.70800018,5.70800018,5.70800018,5.38000011,5.38000011,5.38000011,5.38000011
1994-02,5.74599981,5.74599981,5.74599981,5.74599981,5.34000015,5.34000015,5.34000015,5.34000015
1994-03,6.48799992,6.48799992,6.48799992,6.48799992,5.11999989,5.11999989,5.11999989,5.11999989
1994-04,7.19299984,7.19299984,7.19299984,7.19299984,5.36999989,5.36999989,5.36999989,5.36999989
1994-05,7.63899994,7.63899994,7.63899994,7.63899994,5.13000011,5.13000011,5.13000011,5.13000011
1994-06,8.23700047,8.23700047,8.23700047,8.23700047,5.19000006,5.19000006,5.19000006,5.19000006
1994-07,8.33600044,8.33600044,8.33600044,8.33600044,5.11999989,5.11999989,5.11999989,5.11999989
1994-08,8.11100006,8.11100006,8.11100006,8.11100006,5.63000011,5.63000011,5.63000011,5.63000011
1994-09,8.35700035,8.35700035,8.35700035,8.35700035,5.44000006,5.44000006,5.44000006,5.44000006
1994-10,8.73999977,8.73999977,8.73999977,8.73999977,5.86999989,5.86999989,5.86999989,5.86999989
1994-11,8.64900017,8.64900017,8.64900017,8.64900017,6.5,6.5,6.5,6.5
1994-12,8.40999985,8.40999985,8.40999985,8.40999985,6.25,6.25,6.25,6.25
1995-01,8.7130003,8.7130003,8.7130003,8.7130003,6.55999994,6.55999994,6.55999994,6.55999994
1995-02,8.52200031,8.52200031,8.52200031,8.52200031,6.75,6.75,6.75,6.75
1995-03,8.46399975,8.46399975,8.46399975,8.46399975,6.67999983,6.67999983,6.67999983,6.67999983
1995-04,8.31499958,8.31499958,8.31499958,8.31499958,6.67999983,6.67999983,6.67999983,6.67999983
1995-05,8.3039999,8.3039999,8.3039999,8.3039999,6.96000004,6.96000004,6.96000004,6.96000004
1995-06,7.46400023,7.46400023,7.46400023,7.46400023,6.5,6.5,6.5,6.5
1995-07,8.15999985,8.15999985,8.15999985,8.15999985,6.9000001,6.9000001,6.9000001,6.9000001
1995-08,7.74599981,7.74599981,7.74599981,7.74599981,6.75,6.75,6.75,6.75
1995-09,7.44500017,7.44500017,7.44500017,7.44500017,6.80999994,6.80999994,6.80999994,6.80999994
1995-10,7.48999977,7.48999977,7.48999977,7.48999977,6.80999994,6.80999994,6.80999994,6.80999994
1995-11,7.30700016,7.30700016,7.30700016,7.30700016,7.0,7.0,7.0,7.0
1995-12,6.85400009,6.85400009,6.85400009,6.85400009,6.5,6.5,6.5,6.5
1996-01,7.04400015,7.04400015,7.04400015,7.04400015,6.55999994,6.55999994,6.55999994,6.55999994
1996-02,6.88600016,6.88600016,6.88600016,6.88600016,6.17999983,6.17999983,6.17999983,6.17999983
1996-03,7.20100021,7.20100021,7.20100021,7.20100021,6.11999989,6.11999989,6.11999989,6.11999989
1996-04,7.59299994,7.59299994,7.59299994,7.59299994,6.0,6.0,6.0,6.0
1996-05,7.64799976,7.64799976,7.64799976,7.64799976,5.94000006,5.94000006,5.94000006,5.94000006
1996-06,7.61000013,7.61000013,7.61000013,7.61000013,6.03000021,6.03000021,6.03000021,6.03000021
1996-07,7.35900021,7.35900021,7.35900021,7.35900021,5.84000015,5.84000015,5.84000015,5.84000015
1996-08,7.24599981,7.24599981,7.24599981,7.24599981,5.80999994,5.80999994,5.80999994,5.80999994
1996-09,7.22200012,7.22200012,7.22200012,7.22200012,5.78000021,5.78000021,5.78000021,5.78000021
1996-10,6.94799995,6.94799995,6.94799995,6.94799995,5.92999983,5.92999983,5.92999983,5.92999983
1996-11,7.33599997,7.33599997,7.33599997,7.33599997,6.30999994,6.30999994,6.30999994,6.30999994
1996-12,7.05600023,7.05600023,7.05600023,7.05600023,6.42999983,6.42999983,6.42999983,6.42999983
1997-01,7.63500023,7.63500023,7.63500023,7.63500023,6.5,6.5,6.5,6.5
1997-02,6.98099995,6.98099995,6.98099995,6.98099995,6.34000015,6.34000015,6.34000015,6.34000015
1997-03,6.90700006,6.90700006,6.90700006,6.90700006,6.21000004,6.21000004,6.21000004,6.21000004
1997-04,7.38600016,7.38600016,7.38600016,7.38600016,6.4000001,6.4000001,6.4000001,6.4000001
1997-05,7.08900023,7.08900023,7.08900023,7.08900023,6.55999994,6.55999994,6.55999994,6.55999994
1997-06,7.04699993,7.04699993,7.04699993,7.04699993,,,,
1997-07,6.99399996,6.99399996,6.99399996,6.99399996,,,,
1997-08,7.11600018,7.11600018,7.11600018,7.11600018,,,,
1997-09,6.97300005,6.97300005,6.97300005,6.97300005,7.12599993,7.12599993,7.12599993,7.12599993
1997-10,6.39799976,6.39799976,6.39799976,6.39799976,,,,
1997-11,6.67199993,6.67199993,6.67199993,6.67199993,7.25400019,7.25400019,7.25400019,7.25400019
1997-12,6.76100016,6.76100016,6.76100016,6.76100016,,,,
1998-01,6.53999996,6.53999996,6.53999996,6.53999996,7.4460001,7.4460001,7.4460001,7.4460001
1998-02,6.28599977,6.28599977,6.28599977,6.28599977,7.44899988,7.44899988,7.44899988,7.44899988
1998-03,6.30800009,6.30800009,6.30800009,6.30800009,,,,
1998-04,6.15399981,6.15399981,6.15399981,6.15399981,,,,
1998-05,5.99900007,5.99900007,5.99900007,5.99900007,,,,
1998-06,5.80200005,5.80200005,5.80200005,5.80200005,7.3829999,7.3829999,7.3829999,7.3829999
1998-07,6.15500021,6.15500021,6.15500021,6.15500021,7.69299984,7.69299984,7.69299984,7.69299984
1998-08,6.03599977,6.03599977,6.03599977,6.03599977,7.64300013,7.64300013,7.64300013,7.64300013
1998-09,5.64499998,5.64499998,5.64499998,5.64499998,7.48699999,7.48699999,7.48699999,7.48699999
1998-10,4.671,4.671,4.671,4.671,,,,
1998-11,4.93400002,4.93400002,4.93400002,4.93400002,7.33199978,7.33199978,7.33199978,7.33199978
1998-12,4.63800001,4.63800001,4.63800001,4.63800001,6.53499985,6.53499985,6.53499985,6.53499985
1999-01,4.31400013,4.31400013,4.31400013,4.31400013,5.96000004,5.96000004,5.96000004,5.96000004
1999-02,4.21500015,4.21500015,4.21500015,4.21500015,,,,
1999-03,4.6960001,4.6960001,4.6960001,4.6960001,5.15999985,5.15999985,5.15999985,5.15999985
1999-04,4.52699995,4.52699995,4.52699995,4.52699995,4.97700024,4.97700024,4.97700024,4.97700024
1999-05,4.89799976,4.89799976,4.89799976,4.89799976,5.08400011,5.08400011,5.08400011,5.08400011
1999-06,5.18300009,5.18300009,5.18300009,5.18300009,5.03999996,5.03999996,5.03999996,5.03999996
1999-07,5.34700012,5.34700012,5.34700012,5.34700012,4.80999994,4.80999994,4.80999994,4.80999994
1999-08,5.70100021,5.70100021,5.70100021,5.70100021,4.94999981,4.94999981,4.94999981,4.94999981
1999-09,5.89400005,5.89400005,5.89400005,5.89400005,4.88999987,4.88999987,4.88999987,4.88999987
1999-10,6.28399992,6.28399992,6.28399992,6.28399992,5.42000008,5.42000008,5.42000008,5.42000008
1999-11,5.93100023,5.93100023,5.93100023,5.93100023,5.3920002,5.3920002,5.3920002,5.3920002
1999-12,6.00500011,6.00500011,6.00500011,6.00500011,,,,
2000-01,6.11299992,6.11299992,6.11299992,6.11299992,,,,
2000-02,6.2329998,6.2329998,6.2329998,6.2329998,6.00699997,6.00699997,6.00699997,6.00699997
2000-03,6.05000019,6.05000019,6.05000019,6.05000019,,,,
2000-04,5.89499998,5.89499998,5.89499998,5.89499998,,,,
2000-05,5.75500011,5.75500011,5.75500011,5.75500011,,,,
2000-06,5.61800003,5.61800003,5.61800003,5.61800003,,,,
2000-07,5.63500023,5.63500023,5.63500023,5.63500023,,,,
2000-08,5.70900011,5.70900011,5.70900011,5.70900011,,,,
2000-09,5.69500017,5.69500017,5.69500017,5.69500017,,,,
2000-10,5.61199999,5.61199999,5.61199999,5.61199999,5.9369998,5.9369998,5.9369998,5.9369998
2000-11,5.5250001,5.5250001,5.5250001,5.5250001,,,,
2000-12,5.23400021,5.23400021,5.23400021,5.23400021,5.88399982,5.88399982,5.88399982,5.88399982
2001-01,5.07200003,5.07200003,5.07200003,5.07200003,5.76100016,5.76100016,5.76100016,5.76100016
2001-02,5.11399984,5.11399984,5.11399984,5.11399984,,,,
2001-03,5.06500006,5.06500006,5.06500006,5.06500006,5.46999979,5.46999979,5.46999979,5.46999979
2001-04,4.84399986,4.84399986,4.84399986,4.84399986,5.40199995,5.40199995,5.40199995,5.40199995
2001-05,5.19000006,5.19000006,5.19000006,5.19000006,,,,
2001-06,5.27199984,5.27199984,5.27199984,5.27199984,,,,
2001-07,5.50099993,5.50099993,5.50099993,5.50099993,,,,
2001-08,5.26000023,5.26000023,5.26000023,5.26000023,5.0,5.0,5.0,5.0
2001-09,5.02299976,5.02299976,5.02299976,5.02299976,,,,
2001-10,4.89900017,4.89900017,4.89900017,4.89900017,,,,
2001-11,4.51900005,4.51900005,4.51900005,4.51900005,4.19099998,4.19099998,4.19099998,4.19099998
2001-12,4.63399982,4.63399982,4.63399982,4.63399982,3.86999989,3.86999989,3.86999989,3.86999989
2002-01,5.04199982,5.04199982,5.04199982,5.04199982,3.92799997,3.92799997,3.92799997,3.92799997
2002-02,4.90100002,4.90100002,4.90100002,4.90100002,3.91899991,3.91899991,3.91899991,3.91899991
2002-03,5.07600021,5.07600021,5.07600021,5.07600021,3.95000005,3.95000005,3.95000005,3.95000005
2002-04,5.38700008,5.38700008,5.38700008,5.38700008,4.09299994,4.09299994,4.09299994,4.09299994
2002-05,5.26200008,5.26200008,5.26200008,5.26200008,3.98200011,3.98200011,3.98200011,3.98200011
2002-06,5.26200008,5.26200008,5.26200008,5.26200008,4.09700012,4.09700012,4.09700012,4.09700012
2002-07,5.03599977,5.03599977,5.03599977,5.03599977,4.05499983,4.05499983,4.05499983,4.05499983
2002-08,4.5999999,4.5999999,4.5999999,4.5999999,3.88599992,3.88599992,3.88599992,3.88599992
2002-09,4.44999981,4.44999981,4.44999981,4.44999981,3.90400004,3.90400004,3.90400004,3.90400004
2002-10,4.25899982,4.25899982,4.25899982,4.25899982,3.87299991,3.87299991,3.87299991,3.87299991
2002-11,4.39799976,4.39799976,4.39799976,4.39799976,3.85700011,3.85700011,3.85700011,3.85700011
2002-12,4.56899977,4.56899977,4.56899977,4.56899977,3.95900011,3.95900011,3.95900011,3.95900011
2003-01,4.23999977,4.23999977,4.23999977,4.23999977,3.93700004,3.93700004,3.93700004,3.93700004
2003-02,4.04899979,4.04899979,4.04899979,4.04899979,3.88800001,3.88800001,3.88800001,3.88800001
2003-03,3.70799994,3.70799994,3.70799994,3.70799994,3.61999989,3.61999989,3.61999989,3.61999989
2003-04,4.0079999,4.0079999,4.0079999,4.0079999,3.55800009,3.55800009,3.55800009,3.55800009
2003-05,3.98699999,3.98699999,3.98699999,3.98699999,3.47600007,3.47600007,3.47600007,3.47600007
2003-06,3.77200007,3.77200007,3.77200007,3.77200007,3.5480001,3.5480001,3.5480001,3.5480001
2003-07,3.81900001,3.81900001,3.81900001,3.81900001,3.58100009,3.58100009,3.58100009,3.58100009
2003-08,4.2579999,4.2579999,4.2579999,4.2579999,3.39899993,3.39899993,3.39899993,3.39899993
2003-09,4.56599998,4.56599998,4.56599998,4.56599998,3.56999993,3.56999993,3.56999993,3.56999993
2003-10,4.42399979,4.42399979,4.42399979,4.42399979,3.64499998,3.64499998,3.64499998,3.64499998
2003-11,5.01399994,5.01399994,5.01399994,5.01399994,3.9000001,3.9000001,3.9000001,3.9000001
2003-12,4.91400003,4.91400003,4.91400003,4.91400003,3.94400001,3.94400001,3.94400001,3.94400001
2004-01,4.65999985,4.65999985,4.65999985,4.65999985,3.96399999,3.96399999,3.96399999,3.96399999
2004-02,4.76900005,4.76900005,4.76900005,4.76900005,4.0710001,4.0710001,4.0710001,4.0710001
